sentence_id,type,lines
24,Target,合成生物学和基因回路已被用来增强CAR-T细胞的定向性，减轻非肿瘤靶向毒性，降低攻击正常组织的几率。
25,Target,其通过合成一个可化学诱导的二聚化split CAR，即双靶点激活的CAR，以及一个抑制性的CAR和SynNotch，一种人工合成受体来控制CAR的激活。
26,Target,但还是难以找到一个理想的抗原，或是多个抗原的组合，用以区分肿瘤和正常组织。
27,Target,因为许多抗原同时存在于实体瘤和正常组织的表面，如果组织损伤或发炎了，更是难以区分。
28,Target,因此，我们迫切需要对CAR-T细胞进行精准调控，将激活的CAR-T细胞限制在实体瘤内。
29,Target,这是我们最新的发现： 利用超声信号同携带机械感应蛋白Piezo1的细胞一起，可以精确调控CAR-T细胞的激活。
30,Target,利用超声微泡更是可以大大增强超声信号。
31,Target,但若利用超声微泡进行辅助，该方法将无法应用于人体内。
32,Target,所以我们进一步设计出了一类可以通过超声波进行基因调控，聚焦超声技术直接控制，且无需借助任何外部辅助因子的可诱导CAR-T细胞。
33,Target,在聚焦超声的短脉冲刺激下，改造后的T细胞可以在一定的时间和范围内进行激活，更加安全地抑制肿瘤在体内的生长。
34,Target,成果
35,Target,激活受热诱导的报告基因，该基因表达易于检测。
36,Target,我们通过改造T细胞，引入可诱导的CAR基因盒，使CAR既能远程，又能直接激活，无需任何外部辅助因子，就能识别和清除肿瘤细胞。
37,Target,我们通过磁共振成像技术引导聚焦超声激活肿瘤内的CAR（见图1中的a）。
38,Target,1. 利用Hsp热休克蛋白启动因子调控可诱导激活的报告蛋白eGFP增强型绿色荧光蛋白的表达，进行检测。
39,Target,首先，我们构建了一个有双启动因子的报告基因结构。
40,Target,其中包含受Hsp热休克蛋白启动因子调控的eGFP增强型绿色荧光蛋白和一个受组成型表达小鼠的PGK酶启动因子调控的红色荧光染料mCherry（见图1中的b）。
41,Target,组成型表达小鼠的启动因子后直接接着目的基因。
42,Target,我们将被慢病毒报告基因感染的HEK293 T胚胎肾细胞（见附录图1中的a）加热到43°C，热处理15分钟。
43,Target,实时荧光成像显示，受热诱导的eGFP增强型绿色荧光蛋白在受热2小时后就开始表达，整个观察过程中，该蛋白持续表达（见图1中的c和附录视频1）。
44,Target,通过流式细胞仪实时量化追踪受热诱导的eGFP增强型绿色荧光蛋白的表达，结果显示，平均97%的细胞在受热6小时后发出绿色荧光； 12小时后，这一比例增至99%，且稳定表达2天时间。
45,Target,平均荧光强度在受热12小时后达到峰值，随后呈平稳下降趋势（见图1中的d）。
46,Target,我们随后对原代人的T细胞的受热诱导情况进行检测（见附录图1中的b）。
47,Target,该原代人的T细胞携带具有双启动因子的eGFP增强型绿色荧光蛋白报告基因。
48,Target,热刺激15分钟后，平均93%的改造后的T细胞呈现绿色荧光，相比之下，未受热处理的对照组荧光表达率为4%，且见于染色背景（见图1中的e和f）。
49,Target,实验组中，表达eGFP增强型绿色荧光蛋白的细胞的平均荧光强度是对照组的十倍（见图1中的g）。
50,Target,2. Jurkat T淋巴细胞和原代人的T细胞中受热诱导的CAR的表达及其作用。
51,Target,为了使基因持续保持激活状态，细胞功能持续表达，以实现治疗的目的，我们将Cre-lox基因开关整合到诱导模型中，从而无需一直依赖于热刺激的作用。
52,Target,该模型由两部分组成。
53,Target,第一部分由受到Hsp热休克蛋白启动因子调控的Cre重组酶以及受PGK酶调控的细胞膜组成。
54,Target,其中的细胞膜用c-Myc标签蛋白进行标记，以便筛选细胞（如图2中的a所示的可诱导的Cre）。
55,Target,第二部分由携带了PGK酶和抗CD19（B淋巴细胞上的抗体）CAR的DNA片段组成，酶和DNA片段中间还插入了一段序列，即lox-ZsGreen荧光蛋白-STOP终止序列-lox（如图2中的a所示的lox-stop CAR报告基因）。
56,Target,通过激活受热诱导的Cre重组酶，切除STOP序列，使得原先的ZsGreen荧光蛋白不表达，含CD19抗体的CAR表达。
57,Target,这样一来，CD19CAR的表达不再受到热刺激的限制。
58,Target,我们先是在Jurkat T淋巴细胞系中检测这个模型（见附录图2中的a）。
59,Target,实验第1天，加热诱导CAR表达，热刺激15分钟，CAR的平均表达率在受热24小时后为77%，未受热处理的对照组的平均表达率只有14%，可作为CAR一般情况下的表达率，只携带lox-stop CAR报告基因的细胞表达率为0.6%，因为少量细胞未受诱导却发生表达（见图2中的b和附录图2中的b）。
60,Target,实验第6天，受热诱导的CAR表达稳定（见图2中的b和附录图2中的b）。
61,Target,我们进一步检测了改造细胞中可诱导的含CD19抗体的CAR的活性（见图2中的c）。
62,Target,改造后的Jurkat T淋巴细胞经过热刺激与未受热的对照组以及表达CD19抗体的Nalm-6人的B淋巴白血病细胞共同培养24小时。
63,Target,通过对CD69抗体，早期T细胞活化标志物表达水平的量化分析，实验组中，改造后的Jurkat T淋巴细胞中的CD69抗体平均表达率为71％，而对照组仅为14％（见图2中的d和e）。
64,Target,结果表明，受热诱导的含CD19抗体的CAR有效改变了改造后的Jurkat T淋巴细胞的功能。
65,Target,我们同样也在原代T细胞中测试了该模型（见图2中的a，c和附录图2中的c）。
66,Target,通过抗体染色技术显示，15分钟的热刺激，诱导29%的T细胞表达了CAR，而未受热诱导的对照组仅有1.9%的T细胞发生了表达（见图2中的f）。
67,Target,随后，我们将可受热诱导的CAR-T细胞与效靶比即效应细胞（免疫细胞）和靶细胞（目标细胞）比例不同，但都表达Fluc萤火虫荧光素酶的Nalm-6肿瘤细胞共同培养，以进行细胞毒性测试，测试细胞杀伤情况。
68,Target,T细胞和肿瘤细胞共同培养24小时后，检测剩余Nalm-6肿瘤细胞的荧光强度。
69,Target,我们发现，受热刺激的T细胞毒性随着效靶比的增加而增加，当效靶比为1:5时，实验组和对照组中的T细胞毒性相差最大，实验组的目标肿瘤消除率为82.9%，对照组仅有29.3%（见图2中的g）。
70,Target,同对照组相比，受热刺激的CAR-T细胞同时大量分泌了干扰素-γ，一种细胞因子，以干扰病毒复制和白细胞介素-2，以促进T细胞增殖（见图2中的h及i），这大大证实了受热诱导的CAR-T细胞用于肿瘤治疗的潜力。
71,Target,虽然15分钟的热刺激可以有效诱导基因表达（见图1和图2），但是可能会对细胞产生毒性。
72,Target,所以我们进一步研究了不同形式的热刺激对原代T细胞的影响（见附录图3）。
73,Target,我们发现，热刺激时间越长，死亡的细胞越多。
74,Target,但是通过聚焦超声技术，其脉冲产生的热刺激能够减少细胞毒性的产生，同时有效诱导基因的表达，且产生和总加热时间相同且持续热刺激的细胞组一样的效果（见附录图3）。
75,Target,且在总加热时间15分钟，实际脉冲热刺激占空比50%，即时间对半的情况下（见附录图3中的a，方案2），聚焦超声技术仍有效诱导了91.4%的eGFP增强型绿色荧光蛋白的表达，且造成的细胞毒性极小，热刺激后24小时测得细胞存活率为92.2%（见附录图3中的b到d）。
76,Target,我们将上述热刺激形式（见附录图3中的a，方案2）进一步应用到肿瘤体内治疗的研究中。
77,Target,利用磁共振成像引导聚焦超声诱导基因激活的仿真体模型模拟和体内实验。
78,Target,磁共振成像引导的聚焦超声能将热能限制在体内的目标点位内，且因其拥有高时空分辨率，微观变化可以清晰捕捉。
79,Target,我们结合7T磁共振成像，一种最高端的磁共振成像和聚焦超声系统进行实验，详细见技术原理部分。
80,Target,我们将环形阵列换能器放置到磁共振成像的孔腔中，正对仿真体模型以及小鼠目标点位上方，为了提高精准度。
81,Target,获取磁共振图像，上传至名为Thermoguide的软件中，以获得目标点位的实时温度。
82,Target,实时温度将反馈到比例-积分-微分控制系统，该系统使实际温度同设定温度一致，以实现自动调节聚焦超声的输出功率，使目标点位的温度能够维持在设定水平（见图3中的a和附录图4）。
83,Target,随后，我们将Nalm-6肿瘤细胞的基因转导给靠慢病毒载体表达的双荧光素酶报告基因，该基因携带可诱导的Fluc萤火虫荧光素酶以及必需的Rluc海肾荧光素酶（如图3中的b所示，基因排序为：Hsp热休克蛋白启动因子–Fluc萤火虫荧光素酶–PGK酶–Rluc海肾荧光素酶–红色荧光染料mCherry）。
84,Target,随后，我们将处理好的细胞注入自制的豆腐仿真体模型中（见图3中的c和技术原理部分）。
85,Target,上下调节焦距，使超声波作用于注入的细胞上。
86,Target,超声刺激8小时后，通过细胞中的Fluc萤火虫荧光素酶与Rluc海肾荧光素酶比值可知，三次长达5分钟的聚焦超声大大诱导了基因的表达（见图3中的d和技术原理部分）。
87,Target,当同样对细胞进行三次长达5分钟的热刺激，超声的诱导效果同使用热循环仪的阳性对照组一致，阳性对照组的结果是预料中的（见图3中的d）。
88,Target,这证实了该方法可以高效地通过超声波基因表达技术调控改造细胞中的基因激活。
89,Target,我们随后通过磁共振成像引导的聚焦超声控制小鼠体内目标点位的温度（见图3中的e及f，和附录视频2），并通过带有双荧光素酶报告基因的Nalm-6肿瘤细胞在小鼠体内检测聚焦超声激活的基因表达情况。
90,Target,结果显示，同一般情况下的对照组，即未注入细胞前，通过聚焦超声刺激目标点位和未经聚焦超声刺激的对照组相比，两次长达5分钟的聚焦超声刺激，大大诱导了注入细胞的基因表达（实验组在注入细胞后，通过聚焦超声刺激目标点位）（见图3中的g和h）。
91,Target,体内实验之改造后的CAR-T细胞经聚焦超声诱导后产生细胞毒性。
92,Target,为了在体内检测可聚焦超声诱导的CAR-T细胞的细胞毒性，我们在NSG免疫缺陷小鼠的两侧，皮下注射了携带Fluc萤火虫荧光素酶的 Nalm-6肿瘤细胞，从而形成对称的肿瘤（见图4中的a）。
93,Target,四天后，在两侧肿瘤注射区域皮下注入经改造后的含CD19抗体的CAR-T细胞，但仅对左侧肿瘤加以三次长达5分钟的聚焦超声刺激，将温度维持在43°C（见图4中的a）。
94,Target,结果显示，同右侧肿瘤相比，左侧肿瘤的生长明显受到了抑制，从而揭示了经聚焦超声诱导的CAR-T细胞在体内的细胞毒性（见图4中的b和c）。
95,Target,我们还设置了一个对照组，只在小鼠的一侧肿瘤处用聚焦超声加以刺激，但均不注入T细胞到小鼠两侧的肿瘤处（见附录图5中的a）。
96,Target,对照组小鼠两侧肿瘤的生长曲线相似，证明三次长达5分钟的聚焦超声本身几乎不对肿瘤生长产生抑制作用（见附录图5中的b和c）。
97,Target,另一个对照组中，小鼠两侧的肿瘤处注入了原代T细胞，仅对左侧肿瘤加以聚焦超声刺激，发现小鼠两侧肿瘤的生长曲线同样相似（见附录图6）。
98,Target,所以，我们的结果表明，聚焦超声可以用于精确调控体内可聚焦超声诱导的CAR-T细胞对目标肿瘤细胞的杀伤性。
99,Target,为了进一步验证该方法的有效性，我们针对进一步分化的肿瘤，检测可聚焦超声诱导的CAR-T细胞对其的杀伤性。
100,Target,我们在NSG免疫缺陷小鼠的左侧皮下注入带有Fluc萤火虫荧光素酶的Nalm-6肿瘤细胞，从而形成单个肿瘤，并以此作为模型进行实验。
101,Target,肿瘤细胞注入十天后，我们在肿瘤注射区域注入可聚焦超声诱导的CAR-T细胞，并用聚焦超声将其激活。
102,Target,对照组的肿瘤侧，则注入原代T细胞，随后同样用聚焦超声加以刺激（见补充数据图1a）。
103,Target,与对照组相比，可聚焦超声诱导的CAR-T细胞显著抑制了肿瘤的生长，证实了聚焦超声诱导的CAR-T细胞疗法能够有效治疗病变时间较长，体积较大的肿瘤（见补充数据图1b至图1d）。
104,Target,我们还测试了这种超声波基因表达技术在调控可诱导的CAR-T细胞对其他类型的肿瘤，尤其是实体瘤的效果。
105,Target,我们将人的前列腺癌细胞PC3进行改造，使其表达前列腺特异性膜抗原PSMA和Fluc萤火虫荧光素酶。
106,Target,我们还对原代T细胞进行了改造，加入Cre-lox基因开关控制可聚焦超声诱导的抗前列腺特异性膜抗原的CAR（见补充数据图2a和2b）。
107,Target,通过体外共同培养检测细胞毒性和细胞因子，来证明可聚焦超声诱导的前列腺特异性膜抗原CAR-T细胞的作用（见补充数据图2c和2e）。
108,Target,我们在NSG免疫缺陷小鼠两侧皮下注入前列腺癌细胞PC3，该细胞携带前列腺特异性膜抗原以及Fluc萤火虫荧光素酶。
109,Target,五天后，在小鼠两侧肿瘤注射区域皮下注入可聚焦超声诱导的前列腺特异性膜抗原CAR-T细胞。
110,Target,用三次长达5分钟的聚焦超声刺激左侧肿瘤，右侧不做处理。
111,Target,实验结果再一次证明，同对照组相比经过聚焦超声刺激的肿瘤明显受到抑制（见图4中d和e）。
112,Target,在监测肿瘤生长的最后一天（实验第22天，聚焦超声处理后的第17天），我们采集了肿瘤组织（详细见技术原理部分），并对引导蛋白质合成的信使RNA进行计数。
113,Target,在聚焦超声刺激过的肿瘤中，信使RNA中CD3（T淋巴细胞的标志）的平均数量是对照组的三倍，表明聚焦超声刺激过的实体前列腺肿瘤中的T细胞进一步扩增且出现大量T细胞聚集现象（见附录图7中的a）。
114,Target,在受聚焦超声刺激的肿瘤中，经Cre基因开关调控重组的CAR-信使RNA的数量是对照组的9倍，这揭示了受聚焦超声诱导的DNA重组和注入肿瘤处改造的T细胞中CAR的表达情况（见附录图7和技术原理部分）。
115,Target,在另一个模拟对照实验中，小鼠两侧的前列腺肿瘤处注入了原代T细胞，但仅对左侧肿瘤进行聚焦超声刺激，结果显示两侧肿瘤生长并无明显差异（见附录图8）。
116,Target,这些实验结果证明了基于聚焦超声的超声波基因表达技术有效调控CAR-T细胞，可用于体内肿瘤疗法且针对各种不同的肿瘤，包括前列腺实体瘤。
117,Target,聚焦超声诱导的CAR-T细胞疗法的安全性。
118,Target,为了证实聚焦超声诱导的CAR-T细胞的非肿瘤靶向毒性低于一般的CAR-T细胞，且能稳定表达CAR。
119,Target,我们采用先前的双侧Nalm-6肿瘤模型，一侧视为近端肿瘤，注入含CD19抗体的CAR-T细胞，一侧注入等量但可聚焦超声诱导的CD19 CAR-T细胞（见附录图9和技术原理部分）。
120,Target,远端肿瘤用于模拟正常组织，其同样表达目标抗原，将不作任何处理（见附录图10中的a和b）。
121,Target,一般的CAR-T细胞不仅消灭了近端肿瘤，还攻击了模拟正常组织的远端肿瘤（见图5中的a和b，以及附录图10中的c）。
122,Target,但是聚焦超声诱导的CAR-T细胞在受聚焦超声激活后，显著抑制了近端肿瘤的生长，但避开了远端的肿瘤（见图5的c，d和附录图10中的d）。
123,Target,在监测肿瘤生长的最后一天，我们参照对照组小鼠的肿瘤生长情况，以计算出一般CAR-T细胞以及受聚焦超声诱导的CAR-T细胞在体内的细胞毒性（详细见技术原理部分）。
124,Target,对照组小鼠两侧的肿瘤处未注入T细胞（见补充数据图3）。
125,Target,一般的CAR-T细胞对近端和远端肿瘤的杀伤性分别为100%和99.8%，聚焦超声诱导的CAR-T细胞对近端肿瘤同样有效，杀伤性达95.7%，但对远端肿瘤的杀伤性仅为9.8%（见图5中的e）。
126,Target,与一般的CAR-T细胞疗法相比，聚焦超声诱导的CAR-T细胞疗法可以说是更加安全，且大大降低了T细胞攻击正常细胞的几率。
127,Target,聚焦超声诱导的CAR-T细胞的培养，以应用于临床和实现可逆表达。
128,Target,为了临床应用，我们尽可能减少了操作过程中所需的外部技术支撑。
129,Target,在聚焦超声诱导的CAR-T细胞中，用Hsp热休克蛋白启动因子调控CAR的表达，无需Cre-lox基因开关，且用PGK酶调控红色荧光染料mCherry的表达，揭示基因传递效率（见图6中的a和附录图11中的a）。
130,Target,聚焦超声诱导的CAR-T细胞能够可逆表达，其CAR受Hsp热休克蛋白调控：第一次热刺激（加热到43°C，时长15分钟）6小时后，原代受Hsp热休克蛋白调控的CAR-T细胞中平均43.9％的CAR发生了表达；12小时后，表达率降至10.5％；24小时后，降至与对照组相同的基准水平（见图6中的b和c）。
131,Target,第二次热刺激（加热到43°C，时长15分钟）后，平均44.2％的CAR发生了表达，随后CAR的表达率同样下降到基准水平（见图6中的c），这表明受Hsp热休克蛋白调控的CAR是可逆的。
132,Target,通过先前实验提到的细胞毒性检测验证聚焦超声诱导的CAR-T细胞的表达，结果显示受热激活的聚焦超声诱导的CAR-T细胞具有更强的细胞杀伤性（见图6中的d）。
133,Target,当效应细胞和靶细胞的比例为1：5时，激活的可逆的聚焦超声诱导的CAR-T细胞与对照组T细胞产生的毒性相差最大，前者消灭了83％的肿瘤细胞，对照组仅消灭了36％的肿瘤细胞（见图6中的d）。
134,Target,我们通过细胞产生的细胞因子数衡量T细胞的定向杀伤程度（见图6中的e）。
135,Target,为了探究可逆的聚焦超声诱导的CAR-T细胞在体内的表现，我们让NSG免疫缺陷小鼠的两侧长出带有Fluc萤火虫荧光素酶的Nalm-6肿瘤。
136,Target,一侧肿瘤，视为近端肿瘤处注入可逆的聚焦超声诱导的CAR-T细胞并用聚焦超声激活，在第4天和第7天再次用聚焦超声刺激肿瘤注入区域（见附录图11中的b）。
137,Target,另一侧的肿瘤，视为远端肿瘤，则不做处理。
138,Target,结果显示，同远端肿瘤相比，近端肿瘤的生长明显受到了抑制（见图6中的f和g），表明可逆的聚焦超声诱导的CAR-T细胞不仅能够有效抑制肿瘤的生长，还将副作用降到最低。
139,Target,对照组中，近端肿瘤在第4天和第7天分别再次用聚焦超声处理，但并未注入T细胞。
140,Target,我们发现，近端肿瘤同远端肿瘤一样对正常细胞产生攻击，说明聚焦超声的反复刺激不会抑制肿瘤生长（见补充数据图4）。
141,Target,另一对照组的近端肿瘤在第4天和第7天接受了可逆的聚焦超声诱导的CAR-T细胞的注射，但并未用聚焦超声处理（见补充数据图5a）。
142,Target,"我们发现虽然近端肿瘤的生长略有减缓，由于CAR本身会发生表达，T细胞也可能产生同种异体反应，排斥注入的人的外来细胞，但在第24天，肿瘤还是平均增长了1,318倍（见补充数据图5b，和5c）。"
143,Target,我们的这些结果，验证了可逆的聚焦超声诱导的CAR-T细胞可以逆转自身的表达，且更加安全，无需大量未经临床测试的外部技术。
